3306	3307	50
3306	8883	50
3413	5549	50
3413	392804	50
5700	117208	50
5700	393389	50
6368	52720	50
6368	73545	50
6405	8427	50
6405	130736	50
6880	9162	50
6880	42360	50
7168	52339	50
7168	393116	50
7701	8791	50
7701	128349	50
8427	44592	50
8427	52664	50
8427	52686	50
9467	9047	50
9467	36315	50
9467	9490	50
29477	393101	50
29477	393107	50
29477	52581	50
29510	393661	50
29510	393326	50
29510	391725	50
30315	393209	50
30315	393200	50
32447	38451	50
32447	393443	50
32807	392902	50
32807	117454	50
32807	117456	50
32809	392854	50
32809	392899	50
32809	118399	50
32812	117382	50
32812	117384	50
34077	391736	50
34077	391737	50
34077	392914	50
34659	6634	50
34659	34660	50
34664	34666	50
34664	34665	50
34668	8807	50
34668	52504	50
34742	9205	50
34742	151194	50
35524	34746	50
35524	35525	50
35527	34745	50
35527	151196	50
35532	65616	50
35532	393167	50
35532	70188	50
35598	40189	50
35598	117177	50
36162	151237	50
36162	42718	50
36162	153155	50
36162	148109	50
36315	32447	50
36315	393425	50
36320	36173	50
36320	36322	50
36322	151237	50
36322	42718	50
36481	3413	50
36481	36482	50
36482	392816	50
36482	73481	50
37568	8278	50
37568	73555	50
37721	37723	50
37721	130734	50
40189	148221	50
40189	392256	50
40189	3414	50
40414	36171	50
40414	392795	50
40462	8426	50
40462	46365	50
40487	393200	50
40487	30319	50
42321	7701	50
42321	392777	50
42484	54911	50
42484	123274	50
42488	34671	50
42488	44596	50
42490	44599	50
42490	128342	50
42718	9467	50
42718	94848	50
43253	393209	50
43253	30319	50
44595	34656	50
44595	34659	50
44598	118632	50
44598	128340	50
46327	123260	50
46327	54879	50
46368	7744	50
46368	46369	50
49524	148109	50
49524	42718	50
51801	52337	50
51801	52340	50
52101	393326	50
52101	393080	50
52101	391725	50
52115	52262	50
52115	393251	50
52115	393146	50
52180	117408	50
52180	117461	50
52200	52172	50
52200	118059	50
52200	391316	50
52242	52262	50
52242	393146	50
52242	52269	50
52253	52262	50
52253	393251	50
52253	52269	50
52268	393251	50
52268	393146	50
52268	52269	50
52338	8477	50
52338	44580	50
52339	44578	50
52339	52343	50
52340	9548	50
52340	52336	50
52344	44582	50
52344	52162	50
52435	393131	50
52435	42725	50
52435	392881	50
52440	44598	50
52440	392753	50
52474	7712	50
52474	52454	50
52488	40483	50
52488	393131	50
52488	392881	50
52495	392956	50
52495	54800	50
52495	393619	50
52583	393101	50
52583	393107	50
52583	393068	50
52657	52664	50
52657	52686	50
52669	52664	50
52669	52686	50
52684	52661	50
52684	128343	50
52686	34656	50
52686	34659	50
52710	52687	50
52710	52708	50
52770	52781	50
52770	117998	50
52770	393149	50
52787	393137	50
52787	117998	50
52787	393149	50
52873	52718	50
52873	52724	50
52874	6368	50
52874	52872	50
53679	393245	50
53679	393233	50
53679	393733	50
53763	393233	50
53763	393733	50
53763	54804	50
53791	43745	50
53791	123271	50
54785	46322	50
54785	54809	50
54809	123272	50
54809	123277	50
54852	393245	50
54852	393233	50
54852	54804	50
54862	392956	50
54862	43252	50
54862	54800	50
54879	54910	50
54879	123268	50
54883	123272	50
54883	123277	50
54910	43745	50
54910	123271	50
54919	392956	50
54919	43252	50
54919	393619	50
55910	38451	50
55910	393443	50
56337	8767	50
56337	56340	50
61152	391731	50
61152	391735	50
